,instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered
208,209,3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606,3784
358,359,1,0,12,0,0,0,1,0.274783,0.279961,0.681304,0.155091,303,451
507,508,2,1,5,0,2,1,2,0.615,0.580825,0.765833,0.118167,819,5254
294,295,4,0,10,0,6,0,1,0.4225,0.425492,0.629167,0.0926667,1499,2809
704,705,4,1,12,0,3,1,1,0.438333,0.428012,0.485,0.324021,331,5398
53,54,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778
108,109,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795
716,717,4,1,12,0,1,1,2,0.393333,0.4015,0.907083,0.0982583,212,4373
622,623,3,1,9,0,5,1,1,0.633333,0.594083,0.6725,0.103863,1379,6630
184,185,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,3065,2978
551,552,3,1,7,0,4,1,1,0.8275,0.761367,0.457917,0.194029,1405,4836
707,708,4,1,12,0,6,0,2,0.381667,0.389508,0.91125,0.101379,1153,4429
339,340,4,0,12,0,2,1,3,0.4625,0.4564,0.949583,0.232583,126,2468
496,497,2,1,5,0,5,1,1,0.533333,0.520833,0.360417,0.236937,1319,5711
154,155,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473
255,256,3,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,701,4062
315,316,4,0,11,0,6,0,1,0.356667,0.357942,0.552917,0.212062,1275,2792
308,309,4,0,11,0,6,0,1,0.326667,0.323854,0.519167,0.189062,1156,2770
487,488,2,1,5,0,3,1,1,0.564167,0.537896,0.797083,0.138058,667,5502
141,142,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084
481,482,2,1,4,0,4,1,2,0.498333,0.483583,0.756667,0.176625,475,4551
554,555,3,1,7,0,0,0,1,0.8225,0.790396,0.57375,0.125629,1203,3469
725,726,1,1,12,0,3,1,3,0.243333,0.220333,0.823333,0.316546,9,432
603,604,3,1,8,0,0,0,2,0.653333,0.595996,0.845833,0.228858,1483,3772
477,478,2,1,4,0,0,0,3,0.396667,0.389504,0.835417,0.344546,120,907
102,103,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953
618,619,3,1,9,0,1,1,1,0.583333,0.565654,0.50375,0.258713,1118,6407
576,577,3,1,7,0,1,1,1,0.730833,0.684987,0.66875,0.153617,1040,6065
187,188,3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754,3838
526,527,2,1,6,0,0,0,1,0.726667,0.663517,0.538333,0.133721,2224,4374
205,206,3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568,3272
348,349,4,0,12,0,4,1,2,0.4225,0.412237,0.634167,0.268042,181,3528
708,709,4,1,12,0,0,0,2,0.384167,0.390146,0.905417,0.157975,441,2787
166,167,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222
516,517,2,1,5,0,4,1,1,0.68,0.631329,0.492917,0.195279,1100,6238
85,86,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221
696,697,4,1,11,0,2,1,2,0.291667,0.281558,0.786667,0.237562,123,3836
5,6,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518
396,397,1,1,2,0,3,1,1,0.469167,0.466538,0.507917,0.189067,304,4275
455,456,2,1,3,0,6,0,2,0.424167,0.421708,0.738333,0.250617,2301,3934
474,475,2,1,4,0,4,1,1,0.498333,0.493046,0.6125,0.0659292,846,5719
377,378,1,1,1,0,5,1,1,0.274167,0.249362,0.5075,0.378108,174,3040
517,518,2,1,6,0,5,1,2,0.654167,0.607962,0.755417,0.237563,533,3594
267,268,4,0,9,0,0,0,2,0.634167,0.572637,0.845,0.0503792,1544,3466
625,626,3,1,9,0,1,1,2,0.580833,0.55305,0.734583,0.151742,1022,5847
46,47,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897
565,566,3,1,7,0,4,1,1,0.77,0.714642,0.600417,0.165429,888,5703
3,4,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454
298,299,4,0,10,0,3,1,2,0.484167,0.472846,0.720417,0.148642,404,3490
217,218,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521,2773
288,289,4,0,10,0,0,0,1,0.511667,0.503154,0.486667,0.281717,1748,3293
